"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 20-Jan-2023","1W AGO 
 17-Jan-2023","1M AGO 
 23-Dec-2022","1Y AGO 
 21-Jan-2022","52W H 
","52W L 
","365 D % CHNG 
 21-Jan-2022","30 D % CHNG 
 23-Dec-2022"
"NIFTY 50","18,118.30","-","18,183.95","18,201.25","18,078.65","18,118.55","18,118.55","18,165.35","17,806.80","17,149.10","18,887.60","15,183.40","2.85","1.75"
"NIFTY NEXT 50","41,820.65","-0.25","42,037.85","42,071.15","41,763.90","41,926.25","41,926.25","42,165.05","40,753.80","40,616.05","45,509.70","35,018.20","-0.61","2.88"
"NIFTY 100","18,245.35","-0.02","18,313.60","18,323.75","18,210.50","18,249.35","18,249.35","18,307.40","17,888.05","17,353.45","19,039.40","15,336.05","2.20","2.02"
"NIFTY 200","9,534.45","-0.07","9,572.45","9,576.35","9,517.90","9,541.00","9,541.00","9,571.60","9,332.90","9,055.15","9,935.30","7,978.20","2.25","2.23"
"NIFTY 500","15,388.55","-0.10","15,451.20","15,459.30","15,364.20","15,403.20","15,403.20","15,466.35","15,046.00","14,712.05","16,041.65","12,855.55","1.47","2.37"
"NIFTY MIDCAP 50","8,733.45","-0.63","8,801.95","8,804.25","8,720.90","8,788.50","8,788.50","8,754.10","8,400.35","8,104.60","9,086.75","6,963.15","4.17","4.62"
"NIFTY MIDCAP 100","31,151.85","-0.39","31,328.25","31,370.25","31,107.70","31,273.80","31,273.80","31,379.30","30,157.65","29,383.00","32,939.30","25,048.15","2.32","3.70"
"NIFTY SMALLCAP 100","9,531.10","-0.37","9,589.05","9,606.10","9,516.15","9,566.50","9,566.50","9,670.85","9,182.55","10,870.90","11,388.65","7,904.90","-16.21","4.18"
"INDIA VIX","13.66","0.29","13.62","13.81","13.30","13.62","13.62","14.37","16.16","22.83","33.97","11.43","-27.90","-15.73"
"NIFTY MIDCAP 150","11,729.90","-0.35","11,790.05","11,807.25","11,714.05","11,771.05","11,771.05","11,843.70","11,383.05","11,125.05","12,378.55","9,496.60","1.90","3.41"
"NIFTY SMALLCAP 50","4,302.60","-0.20","4,324.45","4,331.45","4,296.10","4,311.40","4,311.40","4,338.15","4,117.70","5,028.15","5,300.00","3,588.30","-18.38","4.70"
"NIFTY SMALLCAP 250","9,294.45","-0.40","9,348.50","9,368.45","9,283.70","9,331.90","9,331.90","9,424.05","8,962.50","9,611.50","10,104.70","7,598.05","-7.39","4.12"
"NIFTY MIDSMALLCAP 400","10,857.15","-0.37","10,915.30","10,932.95","10,843.70","10,897.10","10,897.10","10,977.65","10,514.05","10,577.65","11,485.85","8,815.80","-1.09","3.64"
"NIFTY500 MULTICAP 50:25:25","9,972.35","-0.20","10,018.15","10,025.55","9,961.10","9,992.05","9,992.05","10,048.00","9,712.40","9,669.30","10,475.45","5,531.55","-0.27","2.88"
"NIFTY LARGEMIDCAP 250","10,073.00","-0.19","10,117.65","10,123.00","10,058.95","10,091.75","10,091.75","10,138.95","9,826.35","9,562.05","10,513.10","5,635.20","2.11","2.70"
"NIFTY MIDCAP SELECT","7,022.40","-0.43","7,061.50","7,064.80","7,012.50","7,052.45","7,052.45","7,039.80","6,929.50","7,263.90","8,124.45","5,520.25","-6.59","1.77"
"NIFTY TOTAL MARKET","8,568.30","-0.11","8,604.15","8,609.15","8,555.55","8,577.45","8,577.45","8,614.65","8,370.05","8,185.30","8,930.90","6,252.10","1.51","2.48"
"NIFTY MICROCAP 250","11,031.15","-0.57","11,124.45","11,160.85","11,017.95","11,094.55","11,094.55","11,247.15","10,390.45","10,252.35","11,693.10","5,802.95","2.67","6.78"
"NIFTY BANK","42,733.45","-0.21","42,994.45","43,078.90","42,615.65","42,821.25","42,821.25","42,458.00","41,668.05","36,947.55","44,151.80","32,155.35","13.96","2.77"
"NIFTY AUTO","12,960.85","1.28","12,840.40","12,976.50","12,818.80","12,797.05","12,797.05","12,817.60","12,236.00","11,261.20","13,544.90","9,226.95","10.68","4.59"
"NIFTY FINANCIAL SERVICES","18,890.00","0.01","18,957.55","19,003.80","18,844.90","18,887.50","18,887.50","18,753.50","18,595.60","17,633.45","19,515.90","14,857.30","4.66","1.57"
"NIFTY FINANCIAL SERVICES 25/50","18,133.25","-0.14","18,214.95","18,242.00","18,101.90","18,158.50","18,158.50","18,112.60","17,869.25","17,403.90","-","-","1.83","1.62"
"NIFTY FMCG","44,324.35","0.14","44,324.85","44,449.65","44,214.95","44,261.90","44,261.90","44,711.45","44,314.90","35,941.35","46,331.20","33,407.55","20.23","-0.12"
"NIFTY IT","30,316.90","0.77","30,220.50","30,499.75","30,151.55","30,086.00","30,086.00","29,617.80","28,237.05","34,821.60","36,813.10","26,186.70","-16.55","6.55"
"NIFTY MEDIA","1,898.75","0.41","1,898.55","1,904.00","1,886.30","1,891.00","1,891.00","1,933.60","1,904.20","2,126.05","2,484.70","1,752.20","-15.14","-0.69"
"NIFTY METAL","6,717.60","-0.89","6,800.25","6,808.85","6,705.90","6,777.85","6,777.85","6,905.80","6,228.00","5,420.45","6,919.60","4,437.30","18.50","8.83"
"NIFTY PHARMA","12,593.85","-0.98","12,726.20","12,732.40","12,575.80","12,718.45","12,718.45","12,734.50","12,784.45","12,998.60","13,972.45","11,726.40","-3.96","-0.52"
"NIFTY PSU BANK","4,190.30","-1.36","4,264.35","4,281.05","4,180.10","4,248.20","4,248.20","4,213.90","3,888.60","2,654.60","4,617.40","2,283.85","56.78","9.25"
"NIFTY PRIVATE BANK","21,700.00","-0.18","21,824.30","21,857.85","21,626.85","21,739.15","21,739.15","21,631.60","21,122.15","18,643.60","22,491.65","16,280.15","14.84","2.92"
"NIFTY REALTY","420.45","-1.01","424.60","425.10","418.05","424.75","424.75","430.95","409.85","462.20","499.40","365.75","-13.53","3.64"
"NIFTY HEALTHCARE INDEX","7,980.50","-1.03","8,070.00","8,073.05","7,969.25","8,063.95","8,063.95","8,074.25","8,155.10","8,145.20","9,275.15","6,482.80","-2.88","-1.12"
"NIFTY CONSUMER DURABLES","24,568.00","0.56","24,489.70","24,602.00","24,439.45","24,431.20","24,431.20","24,770.75","24,506.80","27,462.35","30,892.40","14,089.55","-14.56","-0.31"
"NIFTY OIL & GAS","8,599.35","-0.39","8,669.60","8,671.35","8,561.85","8,632.75","8,632.75","8,545.30","8,021.30","7,573.00","8,671.35","4,632.70","11.15","7.62"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,929.85","-0.08","3,945.65","3,947.90","3,924.65","3,932.95","3,932.95","3,933.40","3,724.80","3,638.95","3,947.90","3,197.75","5.28","5.59"
"NIFTY GROWTH SECTORS 15","8,765.30","0.20","8,767.95","8,773.85","8,735.45","8,748.20","8,748.20","8,791.30","8,665.25","7,448.20","9,188.40","6,822.30","15.40","0.96"
"NIFTY100 QUALITY 30","3,898.90","0.42","3,893.80","3,907.70","3,888.80","3,882.70","3,882.70","3,889.95","3,826.45","3,776.35","-","-","-0.14","1.47"
"NIFTY50 VALUE 20","9,390.75","0.01","9,419.90","9,424.55","9,379.10","9,389.70","9,389.70","9,393.75","8,956.00","8,886.20","9,498.85","7,700.65","2.81","4.84"
"NIFTY50 TR 2X LEVERAGE","12,382.00","-0.02","12,471.75","12,494.70","12,328.50","12,384.10","12,384.10","12,456.05","12,032.45","11,682.15","13,598.05","8,986.95","0.34","2.92"
"NIFTY50 PR 2X LEVERAGE","8,866.65","-0.02","8,930.90","8,947.35","8,828.30","8,868.45","8,868.45","8,922.35","8,618.90","8,584.15","9,740.40","6,508.90","-2.21","2.90"
"NIFTY50 TR 1X INVERSE","211.70","0.02","210.95","212.15","210.75","211.65","211.65","211.00","214.45","221.95","248.00","201.65","-2.06","-1.31"
"NIFTY50 PR 1X INVERSE","250.00","0.02","249.10","250.55","248.90","249.95","249.95","249.15","253.25","258.75","291.30","238.10","-0.81","-1.30"
"NIFTY50 DIVIDEND POINTS","185.77","0.18","185.77","185.77","185.77","185.43","185.43","183.04","183.04","159.08","-","-","16.56","1.31"
"NIFTY ALPHA 50","29,020.75","-0.05","29,146.60","29,204.70","28,953.20","29,035.65","29,035.65","29,280.90","27,860.05","33,319.90","-","-","-16.96","4.22"
"NIFTY50 EQUAL WEIGHT","20,621.80","-0.15","20,711.70","20,717.70","20,583.40","20,652.60","20,652.60","20,757.15","20,230.85","19,120.30","-","-","5.21","2.08"
"NIFTY100 EQUAL WEIGHT","20,577.25","-0.14","20,659.00","20,664.85","20,554.55","20,606.35","20,606.35","20,718.40","20,188.90","20,043.80","-","-","-0.30","2.07"
"NIFTY100 LOW VOLATILITY 30","13,358.15","-0.14","13,414.10","13,418.95","13,337.40","13,377.45","13,377.45","13,478.85","13,152.00","12,841.85","-","-","1.89","1.71"
"NIFTY200 QUALITY 30","14,277.05","0.11","14,294.85","14,333.70","14,263.45","14,261.55","14,261.55","14,299.05","14,131.10","14,184.25","-","-","-2.42","0.92"
"NIFTY ALPHA LOW-VOLATILITY 30","17,076.85","-0.30","17,170.40","17,175.45","17,048.10","17,127.50","17,127.50","17,237.95","16,916.50","16,679.55","-","-","-0.33","1.25"
"NIFTY200 MOMENTUM 30","19,101.85","-0.47","19,240.70","19,248.85","19,064.55","19,192.25","19,192.25","19,239.30","18,925.10","19,421.45","-","-","-5.52","1.41"
"NIFTY MIDCAP150 QUALITY 50","15,926.25","-","15,957.70","16,015.45","15,909.00","15,926.50","15,926.50","15,945.75","15,704.80","16,975.40","-","-","-9.55","1.41"
"NIFTY COMMODITIES","5,888.35","-0.86","5,956.50","5,963.50","5,879.95","5,939.35","5,939.35","6,049.70","5,701.25","5,657.30","6,458.45","4,774.15","1.02","4.18"
"NIFTY INDIA CONSUMPTION","7,451.70","0.36","7,443.55","7,460.85","7,426.40","7,425.20","7,425.20","7,516.45","7,456.50","6,796.15","8,146.95","6,177.70","6.09","-0.42"
"NIFTY CPSE","2,862.75","-0.75","2,890.10","2,894.15","2,857.45","2,884.50","2,884.50","2,838.70","2,705.30","2,398.20","2,902.70","2,241.45","18.79","6.62"
"NIFTY ENERGY","25,962.25","-0.67","26,230.00","26,230.00","25,896.40","26,137.45","26,137.45","26,272.55","24,879.95","24,425.25","29,304.05","22,831.10","4.32","5.05"
"NIFTY INFRASTRUCTURE","5,205.20","-0.63","5,252.75","5,254.50","5,190.55","5,238.40","5,238.40","5,294.25","5,157.00","4,952.25","5,482.80","4,405.55","2.70","1.58"
"NIFTY100 LIQUID 15","4,568.05","-0.26","4,594.65","4,594.65","4,551.00","4,579.85","4,579.85","4,600.45","4,540.20","4,370.25","4,844.15","3,812.25","2.06","0.87"
"NIFTY MIDCAP LIQUID 15","7,503.15","-0.72","7,569.25","7,569.25","7,490.50","7,557.85","7,557.85","7,518.75","7,323.10","7,159.10","7,971.15","6,366.80","1.47","3.21"
"NIFTY MNC","19,732.40","0.20","19,731.90","19,772.05","19,671.90","19,692.55","19,692.55","19,969.25","19,503.80","18,480.70","20,626.45","16,805.30","3.54","0.97"
